"filename", "language", "Python", "toml", "reStructuredText", "JSON", "Markdown", "comment", "blank", "total"
"/Users/avery/Documents/program/VS code/MazeMage/README.md", "Markdown", 0, 0, 0, 0, 3, 0, 2, 5
"/Users/avery/Documents/program/VS code/MazeMage/Scene/BaceScene.py", "Python", 66, 0, 0, 0, 0, 9, 16, 91
"/Users/avery/Documents/program/VS code/MazeMage/Scene/Home_Scene.py", "Python", 28, 0, 0, 0, 0, 2, 11, 41
"/Users/avery/Documents/program/VS code/MazeMage/Scene/Maze_Scene.py", "Python", 56, 0, 0, 0, 0, 5, 16, 77
"/Users/avery/Documents/program/VS code/MazeMage/main.py", "Python", 65, 0, 0, 0, 0, 3, 26, 94
"/Users/avery/Documents/program/VS code/MazeMage/main_logic.py", "Python", 118, 0, 0, 0, 0, 22, 37, 177
"/Users/avery/Documents/program/VS code/MazeMage/outline.rst", "reStructuredText", 0, 0, 33, 0, 0, 0, 8, 41
"/Users/avery/Documents/program/VS code/MazeMage/poetry.lock", "toml", 0, 6, 0, 0, 0, 0, 2, 8
"/Users/avery/Documents/program/VS code/MazeMage/theme/custom.json", "JSON", 0, 0, 0, 52, 0, 0, 1, 53
"/Users/avery/Documents/program/VS code/MazeMage/theme/theme.json", "JSON", 0, 0, 0, 45, 0, 0, 1, 46
"Total", "-", 333, 6, 33, 97, 3, 41, 120, 633
